candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id, population,poll_id,poll_type,nb_people,start_date,end_date,folder,population,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,name,surname,parti,annonce_candidature,retrait_candidature,second_round,candidate,sans_opinion,rang,mention_majoritaire
OF,2.0408163265306123,10.204081632653061,37.755102040816325,25.510204081632654,24.48979591836735,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Olivier,Faure,Parti Socialiste,,,,Olivier Faure,2.0,17,ni satisfait ni insatisfait
BC,3.0612244897959187,14.285714285714286,40.816326530612244,23.46938775510204,18.367346938775512,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bernard,Cazeneuve,Parti Socialiste,,,,Bernard Cazeneuve,2.0,5,ni satisfait ni insatisfait
MT,3.0612244897959187,8.16326530612245,36.734693877551024,21.42857142857143,30.612244897959183,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Marine,Tondelier,Europe Écologie Les Verts,,,,Marine Tondelier,2.0,19,plutôt satisfait
LW,2.0408163265306123,11.224489795918368,37.755102040816325,23.46938775510204,25.510204081632654,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Laurent,Wauquiez,Les Républicains,,,,Laurent Wauquiez,2.0,15,ni satisfait ni insatisfait
YBP,2.0408163265306123,9.183673469387756,44.89795918367347,20.408163265306122,23.46938775510204,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Yaël,Braun-Pivet,,,,,Yaël Braun-Pivet,2.0,7,ni satisfait ni insatisfait
JLM,4.081632653061225,8.16326530612245,15.306122448979592,17.346938775510203,55.10204081632653,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jean-Luc,Mélenchon,La France Insoumise,,,,Jean-Luc Mélenchon,2.0,23,très satisfait
EZ,6.122448979591837,9.183673469387756,17.346938775510203,14.285714285714286,53.06122448979592,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Eric,Zemmour,,,,,Eric Zemmour,2.0,22,très satisfait
MBa,2.0408163265306123,13.26530612244898,38.775510204081634,24.48979591836735,21.42857142857143,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Michel,Barnier,Les Républicains,,,,Michel Barnier,2.0,11,ni satisfait ni insatisfait
GA,5.1020408163265305,21.42857142857143,27.551020408163264,22.448979591836736,23.46938775510204,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Gabriel,Attal,La République En Marche,,,,Gabriel Attal,2.0,9,ni satisfait ni insatisfait
BR,9.183673469387756,19.387755102040817,35.714285714285715,14.285714285714286,21.42857142857143,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bruno,Retailleau,Les Républicains,,,,Bruno Retailleau,2.0,2,ni satisfait ni insatisfait
DL,2.0408163265306123,7.142857142857143,50.0,20.408163265306122,20.408163265306122,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",David,Lisnard,Les Républicains,,,,David Lisnard,2.0,4,ni satisfait ni insatisfait
JC,3.0612244897959187,12.244897959183675,36.734693877551024,24.48979591836735,23.46938775510204,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jean,Castex,Les Républicains,,,,Jean Castex,2.0,12,ni satisfait ni insatisfait
EP,9.183673469387756,19.387755102040817,29.591836734693878,20.408163265306122,21.42857142857143,0,,pt1,all,ipsos_202502,pt1,1000,2025-02-12,2025-02-13,polls/ipsos_202502,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Edouard,Philippe,,,,,Edouard Philippe,2.0,2,ni satisfait ni insatisfait
